model,method,class,node,fidelity_plus,fidelity_minus,sparsity,n_high_imp_edges,avg_importance
gcn,gnn,illicit,136312,0.9294447712600231,0.0,0.9500032002730899,47,0.7561485767364502
gcn,gnn,illicit,189916,0.9985779538983479,0.0,0.9500032002730899,54,0.8944418430328369
gcn,gnn,illicit,193466,0.36524736881256104,-5.960464477539063e-08,0.9500032002730899,13,0.911754846572876
gcn,gnn,illicit,137950,0.24778875708580017,0.0,0.9500032002730899,4,0.8868902325630188
gcn,gnn,illicit,157681,0.5746574997901917,-1.6570091247558594e-05,0.9500032002730899,61,0.8550405502319336
gcn,gnn,illicit,142234,0.9534829799085855,0.00036513805389404297,0.9500032002730899,52,0.48355087637901306
gcn,gnn,illicit,201532,0.611705094575882,0.0,0.9500032002730899,27,0.8966545462608337
gcn,gnn,illicit,157368,0.5266427099704742,-0.00044715404510498047,0.9500032002730899,7,0.16264109313488007
gcn,gnn,illicit,148265,0.308021605014801,0.0,0.9500032002730899,11,0.9042029976844788
gcn,gnn,illicit,179187,0.6316439211368561,1.6689300537109375e-06,0.9500032002730899,105,0.8602296710014343
gcn,gnn,illicit,167155,0.16296172142028809,1.1920928955078125e-07,0.9500032002730899,6,0.9151538014411926
gcn,gnn,illicit,157686,0.2218087911605835,0.0,0.9500032002730899,4,0.9086784720420837
gcn,gnn,illicit,194257,0.05203062295913696,0.0,0.9500032002730899,6,0.8910765647888184
gcn,gnn,illicit,170610,0.5226028263568878,-0.014657020568847656,0.9500032002730899,10,0.6793428063392639
gcn,gnn,illicit,148166,0.9216398671269417,0.0,0.9500032002730899,234,0.9030025005340576
gcn,gnn,illicit,170849,0.07291519641876221,0.0,0.9500032002730899,8,0.9059362411499023
gcn,gnn,licit,201356,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,201364,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,151517,-1.1920928955078125e-07,-3.5762786865234375e-07,0.9500032002730899,3,0.9114271998405457
gcn,gnn,licit,193280,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,154446,-5.960464477539062e-07,-9.5367431640625e-07,0.9500032002730899,3,0.9114890694618225
gcn,gnn,licit,139598,0.0,0.0,0.9500032002730899,3,0.9110187888145447
gcn,gnn,licit,151627,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,151527,0.07821238040924072,0.0,0.9500032002730899,2,0.9250642657279968
gcn,gnn,licit,167677,0.02935624122619629,-9.322166442871094e-05,0.9500032002730899,19,0.45789337158203125
gcn,gnn,licit,142289,0.4767651855945587,-0.033078908920288086,0.9500032002730899,41,0.3859651982784271
gcn,gnn,licit,174990,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,184134,0.005662202835083008,2.384185791015625e-07,0.9500032002730899,65,0.5451546311378479
gcn,gnn,licit,174602,-0.11879891157150269,0.0,0.9500032002730899,1,0.9254929423332214
gcn,gnn,licit,179193,-1.3709068298339844e-05,-3.5762786865234375e-06,0.9500032002730899,78,0.5136764049530029
gcn,gnn,licit,184154,1.811981201171875e-05,0.0,0.9500032002730899,88,0.5433450937271118
gcn,gnn,licit,184699,1.1920928955078125e-07,-2.384185791015625e-07,0.9500032002730899,3,0.9114689230918884
gcn,gnn,licit,155753,1.3113021850585938e-06,0.0,0.9500032002730899,2,0.9011785984039307
gcn,gnn,licit,151484,2.384185791015625e-07,0.0,0.9500032002730899,101,0.5818294286727905
gcn,gnn,licit,163461,0.19596421718597412,0.0,0.9500032002730899,1,0.22292017936706543
gcn,gnn,licit,166983,-5.817413330078125e-05,-1.239776611328125e-05,0.9500032002730899,40,0.23141488432884216
gcn,gnn,licit,167091,-2.9802322387695312e-06,-1.9073486328125e-06,0.9500032002730899,52,0.24028107523918152
gcn,gnn,licit,167002,-0.0017514824867248535,-0.00011342763900756836,0.9500032002730899,70,0.29179537296295166
gcn,gnn,licit,180098,0.34853172302246094,-0.0046329498291015625,0.9500032002730899,2,0.23338480293750763
gcn,gnn,licit,162242,0.00039070844650268555,-1.1920928955078125e-06,0.9500032002730899,12,0.41160017251968384
gcn,gnn,licit,176246,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,193289,0.010588526725769043,-0.00015980005264282227,0.9500032002730899,49,0.23943334817886353
gcn,gnn,licit,181131,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,142744,0.0,0.0,0.9500032002730899,3,0.9082617163658142
gcn,gnn,licit,155379,0.0,0.0,0.9500032002730899,2,0.9025366306304932
gcn,gnn,licit,184702,8.344650268554688e-07,-1.1920928955078125e-07,0.9500032002730899,3,0.9117634296417236
gcn,gnn,licit,194187,0.6272509098052979,0.0,0.9500032002730899,1,0.15110236406326294
gcn,gnn,licit,179438,1.1920928955078125e-07,0.0,0.9500032002730899,3,0.9094691276550293
gcn,gnn,licit,193861,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,142137,0.5992129147052765,-0.0008270144462585449,0.9500032002730899,12,0.19876110553741455
gcn,gnn,licit,136641,0.21473979949951172,-1.0728836059570312e-06,0.9500032002730899,17,0.5668782591819763
gcn,gnn,licit,163282,0.2762063145637512,0.0,0.9500032002730899,27,0.6122847199440002
gcn,gnn,licit,184531,2.384185791015625e-07,-1.1920928955078125e-07,0.9500032002730899,3,0.9112272262573242
gcn,gnn,licit,151798,-0.38380616903305054,0.005749344825744629,0.9500032002730899,3,0.29317983984947205
gcn,gnn,licit,151822,0.32746565341949463,-3.933906555175781e-06,0.9500032002730899,11,0.5679270029067993
gcn,gnn,licit,151544,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,154673,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,157158,1.2874603271484375e-05,-1.1920928955078125e-06,0.9500032002730899,84,0.33298733830451965
gcn,gnn,licit,154637,0.0,0.0,0.9500032002730899,0,0.0
gcn,gnn,licit,167444,0.13658010959625244,0.0,0.9500032002730899,17,0.19237147271633148
gcn,gnn,licit,170138,-0.008772015571594238,-0.0013473033905029297,0.9500032002730899,12,0.38166263699531555
gcn,gnn,licit,179255,3.5762786865234375e-07,-1.1920928955078125e-07,0.9500032002730899,3,0.9108133316040039
gcn,gnn,licit,161918,2.0265579223632812e-06,-5.960464477539062e-07,0.9500032002730899,3,0.9116219878196716
gcn,gnn,licit,159636,0.29023855924606323,-1.9669532775878906e-05,0.9500032002730899,11,0.18762676417827606
